@relation stock
@attribute open real
@attribute high real
@attribute low real
@attribute close real
@data
29.85,29.85,29.85,29.85
16.01,16.01,16.01,16.01
51.85,51.85,51.85,51.85
61.67,61.67,61.67,61.67
3.28,3.28,3.28,3.28
257.41,257.41,257.41,257.41
0.995,0.995,0.995,0.995
0.7782,0.7782,0.7782,0.7782
9.28,9.28,9.28,9.28
13.62,13.62,13.62,13.62
4.19,4.19,4.19,4.19
27.39,27.39,27.39,27.39
2.85,2.85,2.85,2.85
0.78,0.78,0.78,0.78
30.62,30.62,30.62,30.62
27.28,27.28,27.28,27.28
15.8499,15.8499,15.8499,15.8499
32.5,32.5,32.5,32.5
2.2197,2.2197,2.2197,2.2197
0.04,0.04,0.04,0.04
109.95,109.95,109.95,109.95
38.21,38.21,38.21,38.21
7.13,7.13,7.13,7.13
45.89,45.89,45.89,45.89
5.67,5.67,5.67,5.67
3.42,3.42,3.42,3.42
0.6545,0.6545,0.6545,0.6545
1.38,1.38,1.38,1.38
9.87,9.87,9.87,9.87
10.47,10.47,10.47,10.47
1.15,1.15,1.15,1.15
8.46,8.46,8.46,8.46
2.17,2.17,2.17,2.17
0.7553,0.7553,0.7553,0.7553
5.82,5.82,5.82,5.82
13.67,13.67,13.67,13.67
2.82,2.82,2.82,2.82
27.6,27.6,27.6,27.6
18.65,18.65,18.65,18.65
44.2,44.2,44.2,44.2
10.87,10.87,10.87,10.87
4.45,4.45,4.45,4.45
7.505,7.505,7.505,7.505
0.63,0.63,0.63,0.63
160.52,160.52,160.52,160.52
22.49,22.49,22.49,22.49
10.82,10.82,10.82,10.82
45.42,45.42,45.42,45.42
37.8,37.8,37.8,37.8
0.6235,0.6235,0.6235,0.6235
19.96,19.96,19.96,19.96
2.7,2.7,2.7,2.7
0.296,0.296,0.296,0.296
37.21,37.21,37.21,37.21
1.77,1.77,1.77,1.77
41.09,41.09,41.09,41.09
63.43,63.43,63.43,63.43
10.4,10.4,10.4,10.4
11.5,11.5,11.5,11.5
1.71,1.71,1.71,1.71
30.5293,30.5293,30.5293,30.5293
10.33,10.33,10.33,10.33
2.03,2.03,2.03,2.03
20.46,20.46,20.46,20.46
295.94,295.94,295.94,295.94
7.665,7.665,7.665,7.665
139.12,139.12,139.12,139.12
19.33,19.33,19.33,19.33
20200101,8,8,8,8
1.25,1.25,1.25,1.25
4.2,4.2,4.2,4.2
27.6,27.6,27.6,27.6
1.8,1.8,1.8,1.8
20200101,42,42,42,42
8.18,8.18,8.18,8.18
7.16,7.16,7.16,7.16
7.7,7.7,7.7,7.7
7.095,7.095,7.095,7.095
43.21,43.21,43.21,43.21
0.78,0.78,0.78,0.78
1.23,1.23,1.23,1.23
1.95,1.95,1.95,1.95
9.01,9.01,9.01,9.01
28.06,28.06,28.06,28.06
55.39,55.39,55.39,55.39
15.27,15.27,15.27,15.27
3.08,3.08,3.08,3.08
1.57,1.57,1.57,1.57
16.47,16.47,16.47,16.47
32.51,32.51,32.51,32.51
751.5,751.5,751.5,751.5
27.95,27.95,27.95,27.95
4.7,4.7,4.7,4.7
23.46,23.46,23.46,23.46
59.42,59.42,59.42,59.42
9.6,9.6,9.6,9.6
37.55,37.55,37.55,37.55
20200101,53,53,53,53
25.69,25.69,25.69,25.69
20.26,20.26,20.26,20.26
13.2,13.2,13.2,13.2
2.47,2.47,2.47,2.47
61.74,61.74,61.74,61.74
1.93,1.93,1.93,1.93
7.55,7.55,7.55,7.55
0.6243,0.6243,0.6243,0.6243
316.02,316.02,316.02,316.02
1177.97,1177.97,1177.97,1177.97
1.14,1.14,1.14,1.14
8.58,8.58,8.58,8.58
14.05,14.05,14.05,14.05
20.13,20.13,20.13,20.13
42.44,42.44,42.44,42.44
2.59,2.59,2.59,2.59
3.36,3.36,3.36,3.36
0.3511,0.3511,0.3511,0.3511
16.9,16.9,16.9,16.9
17.89,17.89,17.89,17.89
5.12,5.12,5.12,5.12
4.01,4.01,4.01,4.01
27.71,27.71,27.71,27.71
103.36,103.36,103.36,103.36
4.35,4.35,4.35,4.35
26.39,26.39,26.39,26.39
0.9725,0.9725,0.9725,0.9725
120.93,120.93,120.93,120.93
1.04,1.04,1.04,1.04
64.05,64.05,64.05,64.05
62.44,62.44,62.44,62.44
27.35,27.35,27.35,27.35
56.59,56.59,56.59,56.59
22.3,22.3,22.3,22.3
4.95,4.95,4.95,4.95
29.65,29.65,29.65,29.65
29.54,29.54,29.54,29.54
17.3,17.3,17.3,17.3
5.47,5.47,5.47,5.47
3.09,3.09,3.09,3.09
139.42,139.42,139.42,139.42
1.5,1.5,1.5,1.5
35.05,35.05,35.05,35.05
3.93,3.93,3.93,3.93
90.46,90.46,90.46,90.46
13.79,13.79,13.79,13.79
3.68,3.68,3.68,3.68
1.04,1.04,1.04,1.04
15.47,15.47,15.47,15.47
4.28,4.28,4.28,4.28
22.74,22.74,22.74,22.74
1.79,1.79,1.79,1.79
26.14,26.14,26.14,26.14
8.69,8.69,8.69,8.69
10.78,10.78,10.78,10.78
101.63,101.63,101.63,101.63
3.45,3.45,3.45,3.45
15.27,15.27,15.27,15.27
9.43,9.43,9.43,9.43
33.53,33.53,33.53,33.53
6.32,6.32,6.32,6.32
46.3,46.3,46.3,46.3
31.98,31.98,31.98,31.98
16.2,16.2,16.2,16.2
20.5,20.5,20.5,20.5
70.01,70.01,70.01,70.01
13.08,13.08,13.08,13.08
21.7729,21.7729,21.7729,21.7729
10.34,10.34,10.34,10.34
24.93,24.93,24.93,24.93
5.94,5.94,5.94,5.94
20200101,3,3,3,3
165.76,165.76,165.76,165.76
53.635,53.635,53.635,53.635
2.0102,2.0102,2.0102,2.0102
39.23,39.23,39.23,39.23
27.13,27.13,27.13,27.13
27.75,27.75,27.75,27.75
1.7,1.7,1.7,1.7
61.75,61.75,61.75,61.75
29.3,29.3,29.3,29.3
126.4,126.4,126.4,126.4
296.73,296.73,296.73,296.73
18.62,18.62,18.62,18.62
3.19,3.19,3.19,3.19
0.286,0.286,0.286,0.286
0.5527,0.5527,0.5527,0.5527
3.73,3.73,3.73,3.73
13.4,13.4,13.4,13.4
41.75,41.75,41.75,41.75
37.96,37.96,37.96,37.96
4.965,4.965,4.965,4.965
1.13,1.13,1.13,1.13
5.39,5.39,5.39,5.39
2053.73,2053.73,2053.73,2053.73
18.78,18.78,18.78,18.78
0.5,0.5,0.5,0.5
51.56,51.56,51.56,51.56
22.92,22.92,22.92,22.92
1.29,1.29,1.29,1.29
25.5779,25.5779,25.5779,25.5779
7.18,7.18,7.18,7.18
25.41,25.41,25.41,25.41
16.18,16.18,16.18,16.18
1.54,1.54,1.54,1.54
79.6,79.6,79.6,79.6
22.07,22.07,22.07,22.07
1.86,1.86,1.86,1.86
0.43,0.43,0.43,0.43
0.3497,0.3497,0.3497,0.3497
2.25,2.25,2.25,2.25
7.6,7.6,7.6,7.6
87.75,87.75,87.75,87.75
28.69,28.69,28.69,28.69
43.7501,43.7501,43.7501,43.7501
3.024,3.024,3.024,3.024
45.05,45.05,45.05,45.05
84.55,84.55,84.55,84.55
41.24,41.24,41.24,41.24
83.86,83.86,83.86,83.86
78.62,78.62,78.62,78.62
56.58,56.58,56.58,56.58
21.94,21.94,21.94,21.94
1.24,1.24,1.24,1.24
0.32,0.32,0.32,0.32
2.3,2.3,2.3,2.3
5.1,5.1,5.1,5.1
0.04,0.04,0.04,0.04
33.88,33.88,33.88,33.88
11.57,11.57,11.57,11.57
87.4,87.4,87.4,87.4
26.2,26.2,26.2,26.2
59.84,59.84,59.84,59.84
21.04,21.04,21.04,21.04
44.94,44.94,44.94,44.94
1.99,1.99,1.99,1.99
15.27,15.27,15.27,15.27
21.87,21.87,21.87,21.87
1.11,1.11,1.11,1.11
12.03,12.03,12.03,12.03
80.11,80.11,80.11,80.11
58.75,58.75,58.75,58.75
26.95,26.95,26.95,26.95
26.94,26.94,26.94,26.94
18.445,18.445,18.445,18.445
25.11,25.11,25.11,25.11
31.49,31.49,31.49,31.49
7.99,7.99,7.99,7.99
18.28,18.28,18.28,18.28
26.53,26.53,26.53,26.53
25.97,25.97,25.97,25.97
16.5,16.5,16.5,16.5
24.79,24.79,24.79,24.79
16.46,16.46,16.46,16.46
50.97,50.97,50.97,50.97
41.96,41.96,41.96,41.96
8.83,8.83,8.83,8.83
0.7399,0.7399,0.7399,0.7399
16.05,16.05,16.05,16.05
10.6,10.6,10.6,10.6
0.26,0.26,0.26,0.26
0.1735,0.1735,0.1735,0.1735
9.43,9.43,9.43,9.43
25.58,25.58,25.58,25.58
26.025,26.025,26.025,26.025
21.29,21.29,21.29,21.29
21.24,21.24,21.24,21.24
21.505,21.505,21.505,21.505
21.31,21.31,21.31,21.31
21.47,21.47,21.47,21.47
21.47,21.47,21.47,21.47
20.56,20.56,20.56,20.56
20.95,20.95,20.95,20.95
22.015,22.015,22.015,22.015
20.14,20.14,20.14,20.14
26.63,26.63,26.63,26.63
16.68,16.68,16.68,16.68
5.92,5.92,5.92,5.92
23.93,23.93,23.93,23.93
24.675,24.675,24.675,24.675
24.45,24.45,24.45,24.45
26.14,26.14,26.14,26.14
25.495,25.495,25.495,25.495
24.8,24.8,24.8,24.8
26.165,26.165,26.165,26.165
25.44,25.44,25.44,25.44
25.11,25.11,25.11,25.11
25.075,25.075,25.075,25.075
25.13,25.13,25.13,25.13
25.12,25.12,25.12,25.12
25.095,25.095,25.095,25.095
24.99,24.99,24.99,24.99
24.95,24.95,24.95,24.95
24.99,24.99,24.99,24.99
24.89,24.89,24.89,24.89
1.39,1.39,1.39,1.39
29.12,29.12,29.12,29.12
56.94,56.94,56.94,56.94
18.96,18.96,18.96,18.96
14.61,14.61,14.61,14.61
38.54,38.54,38.54,38.54
16.635,16.635,16.635,16.635
0.59,0.59,0.59,0.59
27.5,27.5,27.5,27.5
2.61,2.61,2.61,2.61
9.29,9.29,9.29,9.29
2.6,2.6,2.6,2.6
9.75,9.75,9.75,9.75
13.78,13.78,13.78,13.78
1.66,1.66,1.66,1.66
28.84,28.84,28.84,28.84
10.16,10.16,10.16,10.16
9.8,9.8,9.8,9.8
0.62,0.62,0.62,0.62
6.92,6.92,6.92,6.92
1.54,1.54,1.54,1.54
75.6,75.6,75.6,75.6
15.5,15.5,15.5,15.5
33.12,33.12,33.12,33.12
3.15,3.15,3.15,3.15
13.97,13.97,13.97,13.97
46.06,46.06,46.06,46.06
442.33,442.33,442.33,442.33
34.45,34.45,34.45,34.45
38.86,38.86,38.86,38.86
5.71,5.71,5.71,5.71
42.75,42.75,42.75,42.75
9.58,9.58,9.58,9.58
10.83,10.83,10.83,10.83
6.1,6.1,6.1,6.1
1.28,1.28,1.28,1.28
32.24,32.24,32.24,32.24
16.11,16.11,16.11,16.11
23.72,23.72,23.72,23.72
35.18,35.18,35.18,35.18
43.23,43.23,43.23,43.23
2.431,2.431,2.431,2.431
33.7724,33.7724,33.7724,33.7724
4.09,4.09,4.09,4.09
36.51,36.51,36.51,36.51
3.09,3.09,3.09,3.09
57.74,57.74,57.74,57.74
158.99,158.99,158.99,158.99
5.91,5.91,5.91,5.91
80.15,80.15,80.15,80.15
39.42,39.42,39.42,39.42
44.65,44.65,44.65,44.65
16.31,16.31,16.31,16.31
38.05,38.05,38.05,38.05
16.5,16.5,16.5,16.5
1.15,1.15,1.15,1.15
1.96,1.96,1.96,1.96
30.14,30.14,30.14,30.14
6.81,6.81,6.81,6.81
0.602,0.602,0.602,0.602
14.12,14.12,14.12,14.12
16.24,16.24,16.24,16.24
14.89,14.89,14.89,14.89
116.38,116.38,116.38,116.38
153.74,153.74,153.74,153.74
67.94,67.94,67.94,67.94
25.99,25.99,25.99,25.99
31.12,31.12,31.12,31.12
16.47,16.47,16.47,16.47
30.5,30.5,30.5,30.5
0.6798,0.6798,0.6798,0.6798
21.16,21.16,21.16,21.16
2.7147,2.7147,2.7147,2.7147
144.32,144.32,144.32,144.32
32.68,32.68,32.68,32.68
65.81,65.81,65.81,65.81
9.55,9.55,9.55,9.55
11.62,11.62,11.62,11.62
39.55,39.55,39.55,39.55
49.02,49.02,49.02,49.02
4.62,4.62,4.62,4.62
54.68,54.68,54.68,54.68
50.6,50.6,50.6,50.6
62.86,62.86,62.86,62.86
7.67,7.67,7.67,7.67
26.655,26.655,26.655,26.655
21.57,21.57,21.57,21.57
69.36,69.36,69.36,69.36
3.84,3.84,3.84,3.84
142.84,142.84,142.84,142.84
4.31,4.31,4.31,4.31
15.99,15.99,15.99,15.99
11.02,11.02,11.02,11.02
7.66,7.66,7.66,7.66
10.64,10.64,10.64,10.64
4.83,4.83,4.83,4.83
4.56,4.56,4.56,4.56
31.07,31.07,31.07,31.07
29.36,29.36,29.36,29.36
7.515,7.515,7.515,7.515
5.39,5.39,5.39,5.39
73.39,73.39,73.39,73.39
4.22,4.22,4.22,4.22
4.53,4.53,4.53,4.53
1.3,1.3,1.3,1.3
0.69,0.69,0.69,0.69
0.0073,0.0073,0.0073,0.0073
26.96,26.96,26.96,26.96
24.23,24.23,24.23,24.23
26.4505,26.4505,26.4505,26.4505
56.42,56.42,56.42,56.42
14.42,14.42,14.42,14.42
11.45,11.45,11.45,11.45
13.95,13.95,13.95,13.95
10.25,10.25,10.25,10.25
10.85,10.85,10.85,10.85
0.9,0.9,0.9,0.9
55.33,55.33,55.33,55.33
13.73,13.73,13.73,13.73
1.5,1.5,1.5,1.5
52.59,52.59,52.59,52.59
0.6207,0.6207,0.6207,0.6207
32.08,32.08,32.08,32.08
13.38,13.38,13.38,13.38
5.96,5.96,5.96,5.96
5.96,5.96,5.96,5.96
56.04,56.04,56.04,56.04
13.4,13.4,13.4,13.4
1.9565,1.9565,1.9565,1.9565
81.95,81.95,81.95,81.95
137.2,137.2,137.2,137.2
38.11,38.11,38.11,38.11
1.72,1.72,1.72,1.72
0.011,0.011,0.011,0.011
0.13,0.13,0.13,0.13
0.8612,0.8612,0.8612,0.8612
20200101,11,11,11,11
110.96,110.96,110.96,110.96
4.96,4.96,4.96,4.96
42.5,42.5,42.5,42.5
24.7964,24.7964,24.7964,24.7964
16.39,16.39,16.39,16.39
59.99,59.99,59.99,59.99
2.09,2.09,2.09,2.09
10.17,10.17,10.17,10.17
18.005,18.005,18.005,18.005
78.2,78.2,78.2,78.2
27.37,27.37,27.37,27.37
26.7,26.7,26.7,26.7
27.24,27.24,27.24,27.24
27.24,27.24,27.24,27.24
20200101,28,28,28,28
485.08,485.08,485.08,485.08
25.92,25.92,25.92,25.92
8.69,8.69,8.69,8.69
11.4,11.4,11.4,11.4
30.0279,30.0279,30.0279,30.0279
33.97,33.97,33.97,33.97
0.7,0.7,0.7,0.7
1.117,1.117,1.117,1.117
77.97,77.97,77.97,77.97
3.64,3.64,3.64,3.64
10.16,10.16,10.16,10.16
39.7939,39.7939,39.7939,39.7939
105.15,105.15,105.15,105.15
20200101,24,24,24,24
33.3622,33.3622,33.3622,33.3622
21.88,21.88,21.88,21.88
1.82,1.82,1.82,1.82
1.72,1.72,1.72,1.72
13.56,13.56,13.56,13.56
16.94,16.94,16.94,16.94
2.51,2.51,2.51,2.51
23.05,23.05,23.05,23.05
21.808,21.808,21.808,21.808
2.23,2.23,2.23,2.23
13.94,13.94,13.94,13.94
5.7,5.7,5.7,5.7
0.7625,0.7625,0.7625,0.7625
17.12,17.12,17.12,17.12
3.65,3.65,3.65,3.65
2.34,2.34,2.34,2.34
15.7468,15.7468,15.7468,15.7468
20200101,5,5,5,5
2.25,2.25,2.25,2.25
0.08,0.08,0.08,0.08
27.01,27.01,27.01,27.01
1.66,1.66,1.66,1.66
2.9,2.9,2.9,2.9
1.71,1.71,1.71,1.71
1.71,1.71,1.71,1.71
10.425,10.425,10.425,10.425
2.2613,2.2613,2.2613,2.2613
7.01,7.01,7.01,7.01
8.74,8.74,8.74,8.74
40.03,40.03,40.03,40.03
44.97,44.97,44.97,44.97
14.5,14.5,14.5,14.5
26.22,26.22,26.22,26.22
200.72,200.72,200.72,200.72
24.85,24.85,24.85,24.85
17.57,17.57,17.57,17.57
125.77,125.77,125.77,125.77
2.03,2.03,2.03,2.03
35.49,35.49,35.49,35.49
0.4,0.4,0.4,0.4
89.96,89.96,89.96,89.96
9.225,9.225,9.225,9.225
23.44,23.44,23.44,23.44
6.2,6.2,6.2,6.2
1.165,1.165,1.165,1.165
20200101,4,4,4,4
22.35,22.35,22.35,22.35
111.83,111.83,111.83,111.83
25.72,25.72,25.72,25.72
3.88,3.88,3.88,3.88
3.95,3.95,3.95,3.95
47.11,47.11,47.11,47.11
10.07,10.07,10.07,10.07
7.92,7.92,7.92,7.92
49.66,49.66,49.66,49.66
0.4955,0.4955,0.4955,0.4955
8.37,8.37,8.37,8.37
0.8952,0.8952,0.8952,0.8952
166.35,166.35,166.35,166.35
22.85,22.85,22.85,22.85
284.05,284.05,284.05,284.05
40.685,40.685,40.685,40.685
20.58,20.58,20.58,20.58
100.19,100.19,100.19,100.19
14.19,14.19,14.19,14.19
32.9083,32.9083,32.9083,32.9083
65.43,65.43,65.43,65.43
12.39,12.39,12.39,12.39
12.51,12.51,12.51,12.51
27.19,27.19,27.19,27.19
12.1,12.1,12.1,12.1
0.41,0.41,0.41,0.41
293.92,293.92,293.92,293.92
146.25,146.25,146.25,146.25
15.75,15.75,15.75,15.75
27.38,27.38,27.38,27.38
25.81,25.81,25.81,25.81
10.4,10.4,10.4,10.4
10.88,10.88,10.88,10.88
1.87,1.87,1.87,1.87
0.93,0.93,0.93,0.93
12.4,12.4,12.4,12.4
5.15,5.15,5.15,5.15
13.44,13.44,13.44,13.44
90.94,90.94,90.94,90.94
3.75,3.75,3.75,3.75
1.01,1.01,1.01,1.01
26.4,26.4,26.4,26.4
3.37,3.37,3.37,3.37
3.06,3.06,3.06,3.06
8.73,8.73,8.73,8.73
24.7169,24.7169,24.7169,24.7169
24.99,24.99,24.99,24.99
19.61,19.61,19.61,19.61
54.47,54.47,54.47,54.47
5.46,5.46,5.46,5.46
46.15,46.15,46.15,46.15
0.2804,0.2804,0.2804,0.2804
7.04,7.04,7.04,7.04
1.53,1.53,1.53,1.53
0.09,0.09,0.09,0.09
